TF	Total genes	Activados	Reprimidos	Genes	Tipo
RcnR	3	0	3	rcnA, rcnB, rcnR	represor
RcsAB	16	10	6	csgD, csgE, csgF, csgG, flhC, flhD, rcsA, wcaA, wcaB, wza, wzb, wzc, yjbE, yjbF, yjbG, yjbH	dual
RcsB	26	24	2	bdm, ftsA, ftsZ, gadA, gadB, gadC, gadX, gadY, hdeA, hdeB, hdeD, lolA, osmB, osmC, rarA, rpoE, rprA, rseA, rseB, rseC, rseD, safA, sra, ydeO, ydeP, yhiD	dual
RcsB-BglJ	16	16	0	bglB, bglF, bglG, leuO, sfsB, yecT, yehF, ygiZ, yidL, ykiA, ynbA, ynbB, ynbC, ynbD, ynjI, yqhG	activador
RelB	3	0	3	hokD, relB, relE	represor
RelBE	3	0	3	hokD, relB, relE	represor
RhaR	2	2	0	rhaR, rhaS	activador
RhaS	6	6	0	rhaA, rhaB, rhaD, rhaR, rhaS, rhaT	activador
Rob	52	40	12	acnA, acrA, acrB, acrZ, acs, actP, aldA, aslB, astC, chaC, dapD, elaB, fadA, fadB, fadD, fadL, fumC, glgS, glnD, inaA, ldtB, lpxL, map, marA, marB, marR, mdaB, mdtD, micF, mltF, narG, nfo, nfsA, nfsB, rimK, rob, sodA, tolC, waaY, waaZ, yacH, ybiT, ybjC, ybjN, ydcL, ygiB, ygiC, yhbO, yhbW, yiaG, yjcH, zwf	dual
RplA	6	0	6	rplA, rplJ, rplK, rplL, rpoB, rpoC	represor
RplD	1	0	1	tnaA	represor
RplM	2	0	2	rplM, rpsI	represor
RplT	2	0	2	rplT, rpmI	represor
RplY	1	0	1	rplY	represor
RpmE	1	0	1	rpmE	represor
RpoN	6	0	6	cspC, fadL, mutM, nth, yfcZ, yobF	represor
RprA	9	1	8	csgD, csgE, csgF, csgG, dgcM, hdeD, lrhA, narP, rpoS	dual
RpsA	5	4	1	fis, manY, pnp, rpsA, rpsO	dual
RpsB	3	0	3	rpsB, tff, tsf	represor
RpsD	4	0	4	rplQ, rpsD, rpsK, rpsM	represor
RpsG	4	0	4	fusA, rpsG, rpsL, tufA	represor
RpsH	12	0	12	rplE, rplF, rplN, rplO, rplR, rplX, rpmD, rpmJ, rpsE, rpsH, rpsN, secY	represor
RpsO	1	0	1	rpsO	represor
RseX	4	0	4	fimB, ihfB, ompA, ompC	represor
RstA	10	5	5	asr, csgD, csgE, csgF, csgG, narG, narH, narI, narJ, ompF	dual
RtcR	2	2	0	rtcA, rtcB	activador
RutR	17	2	15	carA, carB, fepB, gadW, gadX, gloA, nemA, nemR, pdeR, rutA, rutB, rutC, rutD, rutE, rutF, rutG, rutR	dual
RybB	15	1	14	csgD, csgE, csgF, csgG, fadL, fiu, maoP, nmpC, ompC, ompF, ompW, rbsB, rluD, sdhC, tsx	dual
RydC	12	7	5	cfa, csgD, csgE, csgF, csgG, pheA, trpA, trpB, trpC, trpD, trpE, trpL	dual
RyhB	45	2	43	acnB, b0725, bfr, cirA, cysE, erpA, fumA, fur, grxD, hemB, hemH, iscA, iscR, iscS, iscU, marA, msrB, nirB, nuoA, nuoB, nuoC, nuoE, nuoF, nuoG, nuoH, nuoI, nuoJ, nuoK, nuoL, nuoM, nuoN, sdhA, sdhB, sdhC, sdhD, sdhX, shiA, sodA, sodB, sucA, sucB, sucC, sucD, uof, yieP	dual
S6:S18 ribosomal subunit complex	4	0	4	priB, rplI, rpsF, rpsR	represor
SdhX	6	0	6	ackA, fdhE, fdoG, fdoH, fdoI, katG	represor
SdiA	7	5	2	ftsA, ftsZ, gadW, gadY, rflP, rmf, rsd	dual
SdsN	3	0	3	hmp, narP, nfsA	represor
SdsR	5	0	5	mutS, tolC, yeaG, yeaH, yhcB	represor
SelB-L-selenocysteinyl-tRNA<sup>sec</sup>	2	0	2	selA, selB	represor
SgrR	9	4	5	alaC, setA, sgrR, sgrS, sgrT, sroA, thiB, thiP, thiQ	dual
SgrS	10	1	9	adiY, asd, folE, manX, manY, manZ, ptsG, purR, yeiB, yigL	dual
SibC	1	0	1	ibsC	represor
SlyA	48	39	9	cas1, cas2, casA, casB, casC, casD, casE, elfA, fecI, fecR, gspC, gspD, gspE, gspF, gspG, gspH, gspI, gspJ, gspK, gspL, gspM, gspO, hlyE, leuO, mdtM, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, pagP, rmf, rsd, sgcA, sgcB, sgcC, sgcE, sgcQ, sgcR, sgcX, slyA, yjiN	dual
SoxR	8	7	1	aroF, fumC, sodA, soxR, soxS, tyrA, yjcB, yrbL	dual
SoxS	54	50	4	acnA, acrA, acrB, acrZ, aldA, cadA, dapD, decR, fldA, fldB, fpr, fumC, fur, glnD, inaA, lpxC, lpxL, map, marA, marB, marR, mdaB, micF, nepI, nfo, nfsA, nfsB, ompN, ompW, pbpG, pgi, poxB, pqiA, pqiB, pqiC, ptsG, ribA, rimK, rob, sodA, soxS, tolC, uof, waaY, waaZ, ybjC, ybjN, ydbK, ygiB, ygiC, yhbW, yrbL, zinT, zwf	dual
Spf	27	2	25	araF, ascF, atoD, caiA, dppB, ebgC, fucI, fucK, fucP, galK, gdhA, glpF, gltA, gss, lldP, maeA, nanC, nanT, paaK, puuE, sdhC, srlA, sthA, sucC, xylF, yjiA, ytfJ	dual
SraG	1	0	1	pnp	represor
SrlR	7	0	7	gutM, gutQ, srlA, srlB, srlD, srlE, srlR	represor
SrsR	38	38	0	adhE, bluR, cdgI, dhaK, dhaL, dhaM, dinJ, fucA, fucI, fucK, fucO, fucP, fucR, fucU, hycB, narZ, paaA, paaB, paaC, paaD, paaE, paaF, paaG, paaH, paaI, paaJ, paaK, paaZ, pflB, yafL, yafQ, yfdK, yfdL, yfdM, yfdN, yfdO, yfdP, yfdQ	activador
StfZ	1	0	1	ftsZ	represor
StpA	21	11	10	bglB, bglF, bglG, cas1, cas2, casA, casB, casC, casD, casE, fau, leuO, malE, malF, malG, malH, proV, proW, proX, ssrS, stpA	dual
SutR	7	1	6	cysE, fliA, fliZ, pfkB, tcyJ, ydcO, ypfN	dual
SymR	1	0	1	symE	represor
TdcA	7	7	0	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG	activador
TdcR	7	7	0	tdcA, tdcB, tdcC, tdcD, tdcE, tdcF, tdcG	activador
TorR	19	18	1	adiA, adiC, gadB, gadC, gadE, hdeA, hdeB, mdtE, mdtF, rpoS, slp, tnaA, tnaB, tnaC, torA, torC, torD, torR, yhiD	dual
TreR	2	0	2	treB, treC	represor
TrpR	12	0	12	aroH, aroL, aroM, mtr, trpA, trpB, trpC, trpD, trpE, trpL, trpR, yaiA	represor
TyrR	11	2	9	aroF, aroG, aroL, aroM, aroP, folA, mtr, tyrA, tyrB, tyrR, yaiA	dual
UhpA	2	2	0	uhpT, uhpU	activador
UhpU	2	1	1	fliC, lrhA	dual
UidR	4	0	4	uidA, uidB, uidC, uidR	represor
UlaR	7	0	7	ulaA, ulaB, ulaC, ulaD, ulaE, ulaF, ulaG	represor
UvrY	6	6	0	csrB, csrC, luxS, uhpT, uhpU, ydeP	activador
UxuR	11	0	11	exuR, fliC, gntP, lgoD, lgoR, uidA, uidB, uidC, uxuA, uxuB, uxuR	represor
XapR	2	2	0	xapA, xapB	activador
XylR	9	8	1	araC, xylA, xylB, xylE, xylF, xylG, xylH, xylR, xylZ	dual
XynR	5	0	5	insX, yagA, yagB, yagE, yagF	represor
YafC	1	1	0	cysJ	activador
YciT	4	2	2	bsmA, cusF, rdcA, ybiY	dual
YcjW	12	0	12	ompG, ycjM, ycjN, ycjO, ycjP, ycjQ, ycjR, ycjS, ycjT, ycjU, ycjV, ymjB	represor
YdaT	1	1	0	rcsA	activador
YdcI	5	5	0	flu, gadB, iraP, isrC, smrB	activador
YdeO	24	21	3	adiA, appA, appB, appC, appX, dctR, gadB, gadE, gadF, gadW, hyaA, hyaB, hyaC, hyaD, hyaE, hyaF, mdtE, mdtF, nhaR, safA, slp, uspD, ydeO, yiiS	dual
YdfH	2	0	2	rspA, rspB	represor
YdiP	2	2	0	cspA, cspE	activador
YebK	1	0	1	yebK	represor
YefM	2	0	2	yefM, yoeB	represor
YefMB	2	0	2	yefM, yoeB	represor
YegW	3	0	3	yegT, yegU, yegV	represor
YeiE	15	4	11	argO, cysJ, dcuC, ftp, gltF, infA, mdtF, pflB, putA, sodC, ssuA, uspF, ydcT, yibQ, yoaC	dual
YeiL	1	1	0	yeiL	activador
YfeC	6	1	5	hybE, rpmB, rpmH, rpsU, yfeC, ygdR	dual
YgaV	4	4	0	cirA, fhuE, fhuF, nfeF	activador
YgbI	2	0	2	ygbJ, ygbK	represor
YgiV	1	0	1	mcbR	represor
YhaJ	8	8	0	bssS, ybiJ, ygiD, yhaJ, yhaK, yhaL, yhhW, yqjF	activador
YiaU	6	6	0	adeP, gltD, waaP, yiaT, yiaV, yiaW	activador
YidZ	4	0	4	malE, ppiC, rbsD, rof	represor
YieP	7	2	5	cusA, dauA, rydC, ybiX, yieP, ykgE, yohJ	dual
YjjQ	10	0	10	dgcN, flhC, flhD, gfcA, ompC, ybhL, yciX, yfiB, yfiR, ymiA	represor
YqhC	2	2	0	dkgA, yqhD	activador
YrdG	1	0	1	mscL	represor
ZntR	2	0	2	rmf, rsd	represor
ZraR	28	25	3	acrE, cpxP, cspA, cspB, exuR, fhuA, fliA, gadW, glnA, glnH, mdtL, mgtA, pnp, raiA, rfaD, rmf, rpoH, sspA, ssrA, tnaA, tnaB, yhdW, yhhY, yjjY, yrdD, zraP, zraR, zraS	dual
Zur	7	0	7	pliG, ykgM, ykgO, zinT, znuA, znuB, znuC	represor
acetyl-CoA carboxyltransferase	2	0	2	accA, accD	represor
carbon storage regulator CsrA	14	0	14	acnA, dgcT, dgcZ, evgA, glgA, glgC, glgP, glgS, nhaR, pgaA, pgaB, pgaC, pgaD, sdiA	represor
ppGpp	306	194	112	acnA, adhP, agp, aidB, alaT, alaU, alaV, argH, argI, argS, argT, argX, ariR, aroM, blc, bolA, cadA, cbpA, cbpM, cfa, clsB, crp, csgD, csgE, csgF, csgG, csgI, cspA, cspD, csrA, csrB, csrC, curA, cysQ, dacC, dkgA, dksA, dnaA, dnaN, dps, dtpB, dusB, ecnB, efp, elaB, fadD, fadL, fbaB, fimB, fis, fkpA, flu, folK, frr, ftsA, ftsK, ftsQ, ftsZ, gabD, gabP, gabT, gadA, gadB, gadC, gadE, gadF, gadX, ggt, glaH, glgA, glgC, glgP, glgS, glnU, glnV, glnW, glnX, glsA, gltT, gltU, gltV, gltW, gluQ, glyT, grxB, hchA, hdeA, hdeB, hdeD, hisJ, hisM, hisP, hisQ, hisR, hmp, hns, idlP, ileT, ileU, ileV, ilvA, ilvB, ilvD, ilvE, ilvG, ilvH, ilvI, ilvL, ilvM, ilvN, ilvX, infA, iraD, iraP, isrC, ivbL, katE, kbp, ldtE, leuA, leuB, leuC, leuD, leuL, leuO, leuT, leuV, leuW, leuX, lhgD, livJ, lrp, lysS, mazG, mdtE, mdtF, metT, metU, metV, metW, metZ, mioC, mnmG, msyB, narU, osmB, osmC, osmF, osmY, otsA, otsB, patA, pcnB, phr, pnp, poxB, prfB, prfC, priB, proM, pth, pyrB, pyrI, pyrL, qorA, queA, recF, relA, rluC, rmf, rnpA, rplI, rpmE, rpmH, rpoE, rpoS, rpsB, rpsF, rpsO, rpsR, rrfA, rrfB, rrfC, rrfD, rrfE, rrfF, rrfG, rrfH, rrlA, rrlB, rrlC, rrlD, rrlE, rrlG, rrlH, rrsA, rrsB, rrsC, rrsD, rrsE, rrsG, rrsH, rseA, rseB, rseC, rsmG, rssB, serW, setA, sgrR, sgrS, sgrT, sodC, speC, sra, sroA, sroD, sufA, sufB, sufC, sufD, sufE, sufS, talA, tam, tff, tgt, thiB, thiP, thiQ, thrA, thrB, thrC, thrL, thrT, thrU, thrV, tktB, tpr, treA, treF, trxA, tsf, tufB, tyrT, tyrU, tyrV, uspA, uspB, uspC, uspD, uspE, wrbA, yahO, yaiA, yajC, yajO, ybaA, ybaT, ybdK, ybeL, ybgA, ybgS, ybhN, ybhP, ybjP, ycaP, yccJ, yccU, ycgB, ychF, ychH, ydcK, ydcL, yeaG, yeaH, yeaQ, yebF, yebV, yedP, yegP, yehE, yehW, yehX, yehY, yfcZ, yghA, yhbO, yhcO, yhhA, yhiD, yiaG, yiiS, yjbJ, yjfY, yjgH, ynfD, yniA, yoaC, yohC, yojI, yqaE, yqjF, ysgA, ytiC, ytiD	dual
ribonuclease E	1	0	1	rne	represor
small heat shock protein IbpA	2	0	2	ibpA, ibpB	represor
threonine&mdash;tRNA ligase	1	0	1	thrS	represor
